SHOP_CODE,EQPT,AGENCY_CODE,DELAY_FREQ,REMARKS_CATEGORY,DELAY_DURN,MONTH,SEASON
8,MILL,M,1.0,Others,0.05,3,Summer
8,MILL,O,1.0,Others,0.1,3,Summer
8,MILL,O,1.0,Others,0.1,3,Summer
8,MILL,C,1.0,Others,0.1,3,Summer
4,M/C-1,ID,1.0,Operational Delay,6.0,3,Summer
7,BAR MILL,C,1.0,Production Change,0.4,3,Summer
15,TBDB PLANT,SD,1.0,Shutdown,8.0,3,Summer
8,MILL,C,1.0,Others,0.1,3,Summer
8,MILL,MS,1.0,Others,0.1,3,Summer
2,OT-2,MIS,1.0,Operational Delay,1.0,3,Summer
1,CT-2,ID,1.0,Operational Delay,10.2,3,Summer
1,CT-1,ID,1.0,Operational Delay,2.0,3,Summer
6,CCM-4,ID,1.0,Operational Delay,4.0,3,Summer
6,CCM-4,O,1.0,Others,3.25,3,Summer
6,CONV-B,O,1.0,Others,0.2,3,Summer
7,BAR MILL,C,1.0,Production Change,0.4,3,Summer
4,M/C-2,M,1.0,Others,0.15,3,Summer
4,M/C-1,M,1.0,Others,0.15,3,Summer
4,M/C-1,MIS,1.0,Conveyor Failure,0.3,3,Summer
9,MILL,C,1.0,Production Change,0.3,3,Summer
9,MILL,O,1.0,Others,0.3,3,Summer
8,MILL,C,1.0,Maintenance,0.1,3,Summer
4,M/C-2,MIS,1.0,Conveyor Failure,0.3,3,Summer
2,OT-1,C,1.0,Others,1.0,3,Summer
5,PSY CR,M,1.0,Others,11.0,3,Summer
9,MILL,O,1.0,Others,0.3,3,Summer
2,OT-2,C,1.0,Others,1.0,3,Summer
6,CCM-5,SD,1.0,Shutdown,24.0,3,Summer
5,PCM,ID,1.0,Operational Delay,0.05,3,Summer
9,MILL,C,1.0,Production Change,0.3,3,Summer
10,GETS,SD,1.0,Others,6.1,3,Summer
6,CCM-6,ID,1.0,Operational Delay,6.05,3,Summer
15,FK-4,ID,1.0,Operational Delay,24.0,3,Summer
7,BAR MILL,C,1.0,Production Change,0.4,3,Summer
15,FK-5,ID,1.0,Operational Delay,24.0,3,Summer
5,PCM,ID,2.0,Operational Delay,8.0,3,Summer
5,PCM,ID,1.0,Operational Delay,4.0,3,Summer
5,PCM,ID,1.0,Operational Delay,4.0,3,Summer
5,PCM,ID,1.0,Operational Delay,4.0,3,Summer
2,OT-3,C,1.0,Others,0.35,3,Summer
5,PCM,ID,1.0,Operational Delay,2.0,3,Summer
4,M/C-2,C,1.0,Others,0.2,3,Summer
6,CCM-1,ID,1.0,Operational Delay,17.0,3,Summer
1,CT-1,E,1.0,Conveyor Failure,4.15,3,Summer
1,CT-2,ID,1.0,Operational Delay,0.05,3,Summer
5,PCM,C,1.0,Others,4.0,3,Summer
3,CSP,E,1.0,Others,24.0,3,Summer
5,PCM,C,1.0,Others,4.0,3,Summer
8,MILL,M,1.0,Others,0.1,3,Summer
3,CSP,M,1.0,Others,8.0,3,Summer
9,MILL,C,1.0,Production Change,0.2,3,Summer
15,TBDB PLANT,ID,1.0,Operational Delay,16.0,3,Summer
1,CT-1,O,1.0,Others,1.2,3,Summer
2,OT-2,C,1.0,Others,0.5,3,Summer
1,WBRC,SD,1.0,Shutdown,3.3,3,Summer
6,CONV-C,SD,1.0,Shutdown,24.0,3,Summer
6,CCM-1,O,1.0,Others,1.25,3,Summer
7,BILLET MIL,C,1.0,Production Change,0.15,3,Summer
7,BILLET MIL,C,1.0,Maintenance,0.15,3,Summer
5,PCM,C,1.0,Others,4.0,3,Summer
1,WBRC,E,1.0,Conveyor Failure,2.0,3,Summer
2,OT-2,MIS,1.0,Operational Delay,6.4,3,Summer
1,CT-1,ID,1.0,Operational Delay,1.1,3,Summer
2,OT-2,MIS,1.0,Others,2.3,3,Summer
2,OT-2,C,1.0,Production Change,0.3,3,Summer
6,CCM-5,SD,1.0,Shutdown,9.3,3,Summer
6,CONV-A,O,1.0,Others,0.35,3,Summer
6,CONV-C,O,1.0,Others,0.4,3,Summer
6,CONV-A,E,1.0,Others,0.45,3,Summer
6,CONV-A,O,1.0,Others,1.15,3,Summer
6,CONV-B,O,1.0,Others,0.5,3,Summer
6,CONV-C,SD,1.0,Shutdown,10.0,3,Summer
15,TBDB PLANT,ID,1.0,Operational Delay,16.0,3,Summer
2,OT-2,M,1.0,Others,0.25,3,Summer
7,BILLET MIL,C,1.0,Maintenance,0.15,3,Summer
9,MILL,C,1.0,Production Change,0.3,3,Summer
5,F/C-1,O,1.0,Others,0.3,3,Summer
8,MILL,P,1.0,Others,0.1,3,Summer
8,MILL,C,1.0,Others,0.05,3,Summer
8,MILL,C,1.0,Others,0.05,3,Summer
8,MILL,S,1.0,Others,0.1,3,Summer
